anime_id,Name,Genres,Other name,Score,Type
43555,Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,"Adventure, Sci-Fi, Suspense",Dr.STONE STONE WARS 開戦前夜スペシャル映像,7.17,Special
43556,Tsurune Movie: Hajimari no Issha,Sports,劇場版ツルネ －はじまりの一射－,7.02,Movie
43565,Fire Emblem Heroes Book III Movie：Cohort of the Dead,"Action, Fantasy, Horror, Supernatural",ファイアーエムブレム ヒーローズ - ブックスリームービ: コホート-オブ-ザ-デッド,6.21,Special
43568,Hakumei no Tsubasa: Expansion - Hoshi no Matsuri,Fantasy,薄明の翼 EXPANSION ~星の祭~,6.93,ONA
43581,Da Hua He Xiao Hua,"Adventure, Fantasy",大花和小花,UNKNOWN,Movie
43590,Yakusoku (2020),Drama,約束,6.94,Music
43591,Hetalia World★Stars,Comedy,ヘタリア World★Stars,6.83,ONA
43600,Chuan Shu Zijiu Zhinan: Xian Meng Pian,"Drama, Supernatural",穿书自救指南 仙盟篇,UNKNOWN,ONA
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy, Romance",かぐや様は告らせたい-ウルトラロマンティック-,9.05,TV
43609,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,"Comedy, Ecchi",かぐや様は告らせたい？ ～天才たちの恋愛頭脳戦～ OVA,7.58,OVA
43621,Koushin,Sci-Fi,交信,UNKNOWN,Music
43626,Jue Shi Wu Hun,"Action, Fantasy",绝世武魂,6.63,ONA
43627,Houkiboshi (2012),Sci-Fi,ほうき星,UNKNOWN,Music
43629,Tokyo Babylon 2021,"Boys Love, Drama, Fantasy, Supernatural",東京BABYLON 2021,UNKNOWN,TV
43651,Anning,Avant Garde,安宁,UNKNOWN,Movie
43653,Gao Nuren He Ai Zhangfu,Comedy,高女人和矮丈夫,UNKNOWN,Movie
43683,Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,Comedy,僕のヒーローアカデミア THE MOVIE ヒーローズ・ライジング エピローグ・プラス《夢を現実に》,7.48,Special
43684,Semi wa Magic Cube,"Action, Comedy, Fantasy",세미와 매직큐브,UNKNOWN,ONA
43690,Tenkuu Shinpan,"Action, Horror, Mystery",天空侵犯,6.71,ONA
43691,Kageki Shoujo!!,Drama,かげきしょうじょ!!,7.75,TV
43692,Gokushufudou,Comedy,極主夫道,7.23,ONA
43693,Thermae Romae Novae,"Comedy, Slice of Life",テルマエ・ロマエ ノヴァエ,7.19,ONA
43696,Bad Mood,Slice of Life,BAD MOOD,UNKNOWN,ONA
43697,Yasuke,"Action, Fantasy",YASUKE －ヤスケ－,5.76,ONA
43702,Doraon Yeongung Hong Gildong,"Action, Adventure",돌아온 영웅 홍길동,UNKNOWN,Movie
43703,Hong Gildong Janggun,"Action, Adventure",홍길동 장군,UNKNOWN,Movie
43704,Tomato Confit,"Comedy, Drama",トマトコンフィ,UNKNOWN,Movie
43711,Juunenbun no Watashi e,Drama,十年分の私へ,6.17,ONA
43722,Ai wo Komete,"Comedy, Slice of Life",愛をこめて,5.53,ONA
43727,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀ Mini Anime","Action, Fantasy",英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～ ミニアニメ,5.57,ONA
43729,Semi wa Magic Cube 2nd Season,"Action, Fantasy",세미와 매직큐브 시즌2,UNKNOWN,ONA
43741,Getter Robo Arc,"Action, Sci-Fi",ゲッターロボ アーク,6.1,TV
43745,Attack Zero x Evangelion,Slice of Life,花王 アタックZERO エヴァンゲリオン,5.22,ONA
43755,Misaki no Mayoiga,"Award Winning, Drama",岬のマヨイガ,6.76,Movie
43756,Bakuten!!,Sports,バクテン!!,7.52,TV
43760,Hikari no Ou,Fantasy,火狩りの王,6.4,TV
43761,Nemui Inu,Comedy,ねむいいぬ,UNKNOWN,Music
43763,Cestvs: The Roman Fighter,"Action, Drama",セスタス-The Roman Fighter-,5.96,TV
43767,Night Head 2041,"Drama, Mystery, Sci-Fi, Supernatural",NIGHT HEAD 2041,6.51,TV
43769,OTMGirls no Yokiyoki Channel,Comedy,OTMGirlsのよきよきチャンネル,5.58,ONA
43772,Hua Jianghu: Xia Lan,"Adventure, Drama, Fantasy",画江湖之侠岚,UNKNOWN,ONA
43774,Sherlock Holmes to Watson Hakase,Mystery,シャーロックホームズとワトソン博士,UNKNOWN,Music
43778,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,"Adventure, Comedy",もっと! まじめにふまじめ かいけつゾロリ 第2シリーズ,UNKNOWN,TV
43779,Eoneu Nal Jameseo Kkaeeoboni Bagelyeoga Doeeo Isseotda,"Comedy, Romance, Ecchi",어느 날 잠에서 깨어보니 베이글녀가 되어 있었다,6.29,ONA
43780,Sumikko Gurashi Movie 2,Comedy,映画 すみっコぐらし2,UNKNOWN,Movie
43791,Toromitsu Musume no Hitou Service: Torottoro Churu Churu Gohoushi Sasete Kudasai,Hentai,トロみつ娘の秘湯サービス ~とろッとろちゅるちゅるご奉仕させてください~,6.57,ONA
43793,Knight of Erin,"Fantasy, Hentai",Knight of Erin,6.59,OVA
43807,San,Comedy,伞,UNKNOWN,Movie
43814,Deatte 5-byou de Battle,Supernatural,出会って5秒でバトル,6.76,TV
43823,Da Qiqiu,Fantasy,大气球,UNKNOWN,Movie
43830,Jiao Jiao Yu Jing Jing,Sci-Fi,娇娇与晶晶,UNKNOWN,TV
43831,Da Senlin Li De Xiao Gushi,Fantasy,大森林里的小故事,UNKNOWN,TV
43834,Baixue Gongzhu Yu Gingwa Wangzi,Fantasy,白雪公主與青蛙王子,UNKNOWN,Movie
43836,Boshi Wa Dou Bianselong,Fantasy,博士蛙斗变色龙,UNKNOWN,Movie
43837,Riyuetan,Fantasy,日月潭,UNKNOWN,Movie
43838,Shenma Yu Yaodao,Fantasy,神马与腰刀,UNKNOWN,Movie
43839,Die Shuangfei,Slice of Life,蝶双飞,UNKNOWN,Movie
43840,Huan You Diqiu Bashi Tian,Adventure,环游地球八十天,UNKNOWN,Movie
43841,Matouqin De Gushi,Fantasy,马头琴的故事,UNKNOWN,Movie
43842,He De Chuanshuo,Fantasy,鹤的传说,UNKNOWN,Movie
43843,Renshen Wangguo,Fantasy,人参王国,UNKNOWN,TV
43844,Shen Di,Fantasy,神笛,UNKNOWN,Movie
43845,Yao Shu Yu Songshu,Fantasy,妖树与松鼠,UNKNOWN,Movie
43846,Hong Shi Feng,Fantasy,红石峰,UNKNOWN,Movie
43848,Kuerlei Xiang Li,Fantasy,库尔勒香梨,UNKNOWN,Movie
43850,Mie Yao Ji,Fantasy,灭妖记,UNKNOWN,Movie
43851,Xue Hu,Drama,雪狐,UNKNOWN,Movie
43853,"Ouch, Mama!",Comedy,"哎喲, 媽媽!",UNKNOWN,TV
43854,Guai Cheng,Adventure,怪城,UNKNOWN,TV
43858,12 Shengxiao Guanjiafu: Wangluo Shijie Lixian,Adventure,12生肖全家福網絡世界歷險,UNKNOWN,TV
43859,Fengchen Xiao Youxia,Adventure,风尘小游侠,UNKNOWN,TV
43860,Hong Haier Chuanqi,"Adventure, Fantasy",红孩儿传奇,UNKNOWN,TV
43861,Jia You Kaixin Guo,Comedy,家有开心果,UNKNOWN,TV
43863,Bravo Dong Dong,Comedy,BRAVO东东,UNKNOWN,TV
43864,Caibao Xiao Huli,Adventure,财宝小狐狸,UNKNOWN,TV
43865,Feilong Tian Jiang,Fantasy,飞龙天降,UNKNOWN,TV
